序号,物料大类,物料名称/规格,适用机型,"参考单价(¥,ex-works千台级)",推荐供应商(主),城市,详细地址,联系人,联系方式,备选供应商,匹配要点/备注
1,结构件,箱体总成（ABS+PC双层注塑/滚塑，80×44×26cm，IPX6，含不锈钢发泡保温夹层）,Standard / Pro,220,东莞市福三塑料制品有限公司,东莞,东莞（大型塑胶件注塑，1380T机台）,（官网询盘）,dgfusan.com,大银塑胶/瀚锐科技,需≥1000T大型注塑或滚塑；福三有1380T机台，匹配大尺寸箱体
2,五金,316海军级不锈钢五金套件（重载锁扣×4、长排合页×2、螺丝套）,全系,45,佛山市顺德区格蓝特不锈钢设备制品有限公司,佛山,佛山市顺德区北滘镇陈大滘工业区创业中路8号,谭女士,13790059845 / 0757-2239819,美杰金属/宏旺金属,产品已用于卡车车厢、船舶设备，含316材质报告+盐雾测试，高度匹配
3,食品接触件,HDPE双向翻折砧板（≥1.5cm，激光防滑纹+导流槽+英制/公制量尺）,全系,35,佛山市南海阿尔福塑胶有限公司,佛山,佛山市南海区大沥谭边工业区兴虹路6号,（询盘）,0757-81825263,赞满塑料（顺德）,专业食品级PE砧板挤出产线，可定制厚度/雕刻量尺
4,流体,12V直流自吸隔膜水泵（≥5L/min，扬程≥2m，可海水）,全系,55,东莞市德之颂电子科技有限公司,东莞,东莞市东城区周屋龙华路温塘工业园C栋3楼,寇小姐,15913807200 / 0769-86018612 / sales@desun-tech.com,爱迪科技/四唯水泵,FL系列12V隔膜泵流量10-12.5L/min，耐酸碱腐蚀，规格完全吻合
5,电源,24V锂电包（6S1P ~50Wh，内置BMS，110V/12V充电）,Pro,150,深圳市鹏诚新能源科技有限公司,深圳/东莞,东莞分公司：长安镇建安路790号科谷工业园B区2号楼701室,（询盘）,0755-27337834 / sales01@pchne.com,嘉洋电池/钜大锂电,自有BMS+电池产线，ODM定制，具备UN38.3/CE等出口认证
6,电子,PCBA主控板（灌胶/三防，含BMS充电管理、防卡死断电、双击启动逻辑）,Standard / Pro,80,东莞市高拓电子科技有限公司,东莞,东莞市虎门镇大宁社区浦江路2号创富赢家产业园B栋3-5楼,苏小姐,18938255362 / 0769-85320081 / sales@gtet.com.cn,百千成BQC/比泰利电子,明确具备三防漆与灌封工艺，汽车/医疗级可靠性，匹配盐雾水汽环境
7,电动工具,12V 100W有刷手持去鳞机（含316滚齿刀头+PC防飞溅罩，有线）,Standard / Mini复用,110,东莞合力电器制品有限公司,东莞,东莞市清溪镇香芒路银湖工业区,（微信询盘）,—,立宇五金(刀头)/硅基动力(电机),"港资OEM厂，明确量产""鱼刀""，出口美国，通过UL/ETL认证"
8,电动工具,24V 200W无刷高扭矩手持去鳞机,Pro,200,广东硅基动力有限公司,东莞,东莞市大朗镇德荣路1号,张惠怡,13715016612,仓兴达/ X-TEAM(历鼎龙),直流无刷电机专业厂，可按功率/转速/尺寸定制，寿命30000+h
9,电动工具,12V往复式电动鱼刀（Electric Fillet Knife，防水动力插口供电）,Pro,90,东莞合力电器制品有限公司,东莞,东莞市清溪镇香芒路银湖工业区,（微信询盘）,—,立宇五金,同去鳞机厂，可直接做电动鱼刀成品/半成品，供应链复用
10,真空封装,干湿两用真空密封模块（Sealer Cartridge：真空泵+热封条+隐藏式液体收集盒）,Pro,160,佛山市德迅包装机械有限公司,佛山,佛山顺德（包装机械产业带）,（询盘）,—,中山科威包装/广州景帆包装,真空包装机厂商，可拆分供应泵体+热封组件，需定制为插拔 cartridge
